calculate_winner,calculate_winner_range,calculate_home_wins_percentage_home,calculate_away_wins_percentage_away,calculate_wins_percentage_overall_home,calculate_wins_percentage_overall_away,calculate_average_home_points_home,calculate_average_away_points_away,points_in_paint_home,points_in_paint_away,average_points_home,average_points_away,calculate_average_home_allowed_points_home,calculate_average_away_allowed_points_away,average_fouls_home,average_fouls_away,fast_break_points_home,fast_break_points_away,average_steals_home,average_steals_away,average_blocks_home,average_blocks_away,average_technical_fouls_home,average_technical_fouls_away,consecutive_away_games_home,consecutive_away_games_away,average_possessions_home,average_possessions_away,average_home_possessions_home,average_away_possessions_away,home_offensive_rating_home,away_offensive_rating_away
290128011,1,2,0.55,0.33,0.38,0.46,107.35,96.22,12.64,11.12,104.27,98.10,104.85,100.63,23.82,23.92,15.98,19.04,6.93,7.15,5.02,3.69,1.36,0.83,1,0,101.36,95.60,103.10,95.82,104.12,100.42
290128012,0,-3,0.21,0.23,0.23,0.40,91.21,97.45,10.41,14.67,93.27,99.27,99.62,105.32,21.20,22.13,14.80,16.38,6.98,7.31,6.43,5.73,0.77,0.69,0,1,95.83,98.28,94.19,97.82,96.84,99.62
290128014,1,3,0.67,0.14,0.56,0.20,95.67,93.36,9.47,9.52,96.49,94.32,91.95,102.95,20.84,20.45,17.88,16.32,8.12,7.55,5.56,4.18,0.86,0.45,0,0,94.19,93.94,93.65,93.91,102.16,99.41
290128016,0,-2,0.38,0.52,0.37,0.56,99.10,91.62,10.77,10.07,98.49,93.47,102.43,92.52,21.74,21.19,15.33,14.30,6.44,6.53,4.07,5.12,0.84,0.84,1,0,97.32,91.19,98.10,90.49,101.02,101.25
290128017,0,-1,0.39,0.36,0.44,0.39,96.96,95.44,11.93,7.67,98.20,97.74,101.30,99.92,23.13,19.54,16.29,15.22,6.96,6.57,4.58,4.80,0.78,0.72,4,0,94.80,94.04,94.67,94.91,102.42,100.56
290128018,1,2,0.59,0.41,0.43,0.59,107.27,96.50,10.66,16.05,103.48,98.25,106.82,98.64,20.02,20.14,17.32,15.57,7.27,7.25,2.48,4.73,0.66,0.84,0,1,100.61,93.28,100.91,93.71,106.30,102.98
290128022,1,2,0.76,0.32,0.61,0.42,101.29,91.74,8.80,10.29,98.41,92.20,93.05,95.89,20.80,22.13,16.30,17.27,7.02,7.18,4.93,4.60,0.82,0.67,1,2,90.17,92.90,90.40,91.98,112.05,99.74
290128025,1,2,0.29,0.11,0.22,0.25,95.42,91.84,14.60,11.86,96.09,92.57,99.46,102.37,20.84,21.98,14.98,17.05,6.91,7.61,4.62,4.32,0.33,0.66,0,0,98.11,93.88,97.35,94.96,98.02,96.71
400828820,1,1,0.39,0.47,0.39,0.53,103.42,99.43,45.00,38.68,101.34,102.45,106.55,103.57,20.87,19.40,13.68,12.08,7.44,6.87,4.52,3.48,0.68,0.81,0,0,99.86,98.70,100.58,98.72,102.82,100.72
240326002,1,2,0.43,0.51,0.44,0.60,94.91,86.77,-1.00,-1.00,94.80,89.26,95.57,87.51,22.46,20.71,4.28,5.90,9.13,8.66,3.94,3.99,1.07,0.80,2,1,112.49,107.25,112.46,104.72,84.39,82.86
281215006,0,-2,0.58,0.64,0.59,0.70,101.50,100.00,16.91,18.30,101.23,103.91,101.42,96.27,19.27,22.30,15.32,18.78,7.18,9.48,4.91,6.65,0.50,0.96,0,0,97.20,99.19,96.61,98.18,105.06,101.85
400489479,0,-1,0.56,0.48,0.38,0.57,99.56,101.86,10.30,12.57,96.67,104.02,99.06,102.52,19.95,20.14,16.90,16.43,7.17,9.45,4.35,4.33,0.57,0.71,5,0,98.13,97.49,100.02,97.90,99.54,104.04
301201007,1,2,0.88,0.22,0.62,0.35,112.88,90.78,12.31,10.82,106.00,91.18,107.12,95.78,22.38,21.18,13.75,18.24,6.88,6.94,3.69,4.00,1.44,0.59,0,1,99.38,94.87,100.68,96.61,112.12,93.97
250211023,0,-1,0.73,0.67,0.65,0.66,105.54,99.29,8.94,11.81,102.88,102.00,98.92,94.43,20.57,22.02,15.67,16.43,8.08,8.49,3.78,5.60,0.76,0.72,1,0,97.09,96.97,97.12,96.00,108.67,103.43
400489052,0,-2,0.40,0.80,0.31,0.91,98.80,97.40,12.54,10.82,93.38,96.36,99.00,95.60,22.46,19.00,16.85,14.09,7.92,6.00,4.92,8.82,0.54,1.00,3,2,97.12,95.08,96.95,97.42,101.91,99.98
240221022,1,3,0.63,0.43,0.48,0.41,95.07,95.64,-1.00,-1.00,91.67,94.70,93.78,97.29,19.43,22.96,4.09,4.09,7.15,9.36,4.33,4.25,0.94,1.00,1,5,106.55,112.85,106.12,113.01,89.59,84.63
221217001,0,-2,0.73,0.27,0.43,0.43,100.00,81.91,-1.00,-1.00,95.87,89.39,96.36,86.64,22.48,21.17,5.04,4.26,7.65,7.91,6.26,4.57,0.83,0.78,0,2,116.04,107.56,114.77,106.39,87.13,76.99
250211026,1,3,0.42,0.46,0.33,0.50,96.21,96.62,8.27,8.96,94.90,97.40,97.29,97.00,27.18,21.70,14.24,12.40,6.16,5.78,4.63,5.28,0.69,0.84,1,0,94.04,93.20,93.21,92.98,103.22,103.91
221217006,1,3,1.00,0.64,0.87,0.78,105.27,96.55,-1.00,-1.00,105.39,98.30,88.36,97.64,21.00,24.43,6.83,5.91,8.96,8.09,5.52,5.57,1.26,1.48,0,0,109.66,114.38,109.11,113.59,96.48,85.00
